import time: self [us] | cumulative | imported package
import time:       168 |       3755 |             httpx._content
import time:        45 |         45 |               brotli
import time:        38 |         38 |               brotlicffi
import time:        35 |         35 |               zstandard
import time:       199 |        315 |             httpx._decoders
import time:       520 |        520 |             httpx._status_codes
import time:        41 |         41 |                   unicodedata
import time:       562 |        562 |                   idna.idnadata
import time:       114 |        114 |                   idna.intranges
import time:       485 |       1201 |                 idna.core
import time:        74 |         74 |                 idna.package_data
import time:       121 |       1395 |               idna
import time:       924 |        924 |               httpx._urlparse
import time:       227 |       2545 |             httpx._urls
import time:       491 |       9854 |           httpx._models
import time:       336 |      10472 |         httpx._auth
import time:       199 |        199 |         httpx._config
import time:       115 |        115 |               httpx._transports.base
import time:       219 |        333 |             httpx._transports.asgi
import time:       243 |        243 |             httpx._transports.default
import time:       125 |        125 |             httpx._transports.mock
import time:       126 |        126 |             httpx._transports.wsgi
import time:       121 |        946 |           httpx._transports
import time:        16 |        962 |         httpx._transports.base
import time:       926 |      12557 |       httpx._client
import time:       115 |      12672 |     httpx._api
import time:        49 |         49 |       click
import time:       137 |        185 |     httpx._main
import time:       196 |      13161 |   httpx
import time:       212 |        212 |       httpcore._models
import time:        78 |         78 |               httpcore._backends
import time:       228 |        228 |               httpcore._exceptions
import time:        76 |         76 |               httpcore._utils
import time:       130 |        130 |               httpcore._backends.base
import time:       190 |        699 |             httpcore._backends.sync
import time:       352 |        352 |                       importlib.abc
import time:       133 |        133 |                       importlib._adapters
import time:       148 |        632 |                     importlib._common
import time:       156 |        787 |                   importlib.resources
import time:       101 |        888 |                 certifi.core
import time:        92 |        980 |               certifi
import time:        70 |       1049 |             httpcore._ssl
import time:        44 |         44 |               trio
import time:        95 |         95 |                   anyio._core
import time:       235 |        330 |                 anyio._core._contextmanagers
import time:       126 |        126 |                     _contextvars
import time:        89 |        214 |                   contextvars
import time:      1185 |       1185 |                     textwrap
import time:      1358 |       1358 |                           typing_extensions
import time:       260 |       1618 |                         exceptiongroup._exceptions
import time:       139 |       1756 |                       exceptiongroup._catch
import time:        80 |         80 |                       exceptiongroup._version
import time:       543 |        543 |                       exceptiongroup._formatting
import time:       110 |        110 |                       exceptiongroup._suppress
import time:       157 |       2645 |                     exceptiongroup
import time:       202 |       4030 |                   anyio._core._exceptions
import time:        92 |         92 |                     sniffio._version
import time:        92 |         92 |                     sniffio._impl
import time:       117 |        300 |                   sniffio
import time:       155 |       4698 |                 anyio._core._eventloop
import time:       416 |        416 |                   dataclasses
import time:       501 |        501 |                         signal
import time:       306 |        806 |                       anyio.abc._eventloop
import time:        96 |         96 |                       anyio.abc._resources
import time:        99 |         99 |                         anyio._core._typedattr
import time:       169 |        169 |                           anyio.abc._tasks
import time:       616 |        784 |                         anyio.abc._streams
import time:       411 |       1292 |                       anyio.abc._sockets
import time:       111 |        111 |                       anyio.abc._subprocesses
import time:        96 |         96 |                       anyio.abc._testing
import time:       573 |        573 |                         anyio.lowlevel
import time:       162 |        162 |                         anyio._core._tasks
import time:        91 |         91 |                         anyio._core._testing
import time:      1799 |       2624 |                       anyio._core._synchronization
import time:        81 |         81 |                           concurrent
import time:       321 |        321 |                           concurrent.futures._base
import time:       145 |        546 |                         concurrent.futures
import time:       560 |       1106 |                       anyio.from_thread
import time:       207 |       6335 |                     anyio.abc
import time:       125 |       6459 |                   anyio.to_thread
import time:       455 |       7330 |                 anyio._core._fileio
import time:        89 |         89 |                 anyio._core._resources
import time:        74 |         74 |                 anyio._core._signals
import time:        74 |         74 |                     anyio.streams
import time:       644 |        717 |                   anyio.streams.stapled
import time:       607 |        607 |                   anyio.streams.tls
import time:        33 |         33 |                           fcntl
import time:        45 |         45 |                           msvcrt
import time:        19 |         19 |                           _posixsubprocess
import time:       331 |        428 |                         subprocess
import time:       146 |        146 |                         asyncio.constants
import time:       460 |        460 |                             asyncio.format_helpers
import time:        94 |        553 |                           asyncio.base_futures
import time:        73 |         73 |                           asyncio.log
import time:       151 |        776 |                         asyncio.coroutines
import time:       130 |        130 |                             asyncio.exceptions
import time:        82 |         82 |                             asyncio.base_tasks
import time:       224 |        435 |                           _asyncio
import time:       308 |        742 |                         asyncio.events
import time:       142 |        142 |                         asyncio.futures
import time:       114 |        114 |                         asyncio.protocols
import time:       154 |        154 |                           asyncio.transports
import time:       242 |        396 |                         asyncio.sslproto
import time:        74 |         74 |                             asyncio.mixins
import time:       289 |        289 |                             asyncio.tasks
import time:       649 |       1011 |                           asyncio.locks
import time:       198 |       1208 |                         asyncio.staggered
import time:       121 |        121 |                         asyncio.trsock
import time:       550 |       4618 |                       asyncio.base_events
import time:        86 |         86 |                       asyncio.runners
import time:       147 |        147 |                       asyncio.queues
import time:       212 |        212 |                       asyncio.streams
import time:       135 |        135 |                       asyncio.subprocess
import time:        76 |         76 |                       asyncio.threads
import time:       140 |        140 |                         asyncio.base_subprocess
import time:       241 |        241 |                         asyncio.selector_events
import time:       438 |        818 |                       asyncio.unix_events
import time:       178 |       6265 |                     asyncio
import time:        13 |       6277 |                   asyncio.coroutines
import time:       691 |       8291 |                 anyio._core._sockets
import time:      1099 |       1099 |                   anyio.streams.memory
import time:       141 |       1239 |                 anyio._core._streams
import time:       112 |        112 |                 anyio._core._subprocesses
import time:       297 |        297 |                 anyio._core._tempfile
import time:       297 |      22754 |               anyio
import time:       178 |      22975 |             httpcore._synchronization
import time:       100 |        100 |             httpcore._trace
import time:        73 |         73 |                     h11._abnf
import time:       227 |        227 |                       h11._util
import time:       509 |        736 |                     h11._headers
import time:      2016 |       2825 |                   h11._events
import time:       193 |        193 |                     h11._receivebuffer
import time:       327 |        327 |                     h11._state
import time:       968 |       1487 |                   h11._readers
import time:       290 |        290 |                   h11._writers
import time:       466 |       5066 |                 h11._connection
import time:        76 |         76 |                 h11._version
import time:       130 |       5271 |               h11
import time:       114 |        114 |               httpcore._sync.interfaces
import time:       292 |       5676 |             httpcore._sync.http11
import time:       217 |      30712 |           httpcore._sync.connection
import time:       173 |        173 |           httpcore._sync.connection_pool
import time:       168 |        168 |           httpcore._sync.http_proxy
import time:       108 |        108 |               h2
import time:        17 |        124 |             h2.config
import time:       143 |        267 |           httpcore._sync.http2
import time:        41 |         41 |             socksio
import time:       105 |        145 |           httpcore._sync.socks_proxy
import time:       158 |      31619 |         httpcore._sync
import time:        17 |      31636 |       httpcore._sync.connection_pool
import time:       144 |      31990 |     httpcore._api
import time:        88 |         88 |         httpcore._backends.auto
import time:       106 |        106 |           httpcore._async.interfaces
import time:       222 |        327 |         httpcore._async.http11
import time:       173 |        587 |       httpcore._async.connection
import time:       156 |        156 |       httpcore._async.connection_pool
import time:       158 |        158 |       httpcore._async.http_proxy
import time:        41 |         41 |           h2
import time:        21 |         62 |         h2.config
import time:       142 |        203 |       httpcore._async.http2
import time:        46 |         46 |         socksio
import time:       100 |        146 |       httpcore._async.socks_proxy
import time:       146 |       1394 |     httpcore._async
import time:       116 |        116 |     httpcore._backends.mock
import time:       106 |        106 |     httpcore._backends.anyio
import time:        42 |         42 |       trio
import time:        93 |        134 |     httpcore._backends.trio
import time:       204 |      33942 |   httpcore
import time:       518 |        518 |     zipfile
import time:       155 |        672 |   importlib.readers
import time:       323 |        323 |   app_config
import time:    723124 |     771221 | llm_config
import time:       562 |        562 |   tkinter.ttk
import time:       103 |        103 |       chunk
import time:       156 |        156 |       audioop
import time:       895 |       1152 |     wave
import time:       616 |       1768 |   piper_tts
import time:       627 |       2956 | config_panel
import time:       123 |        123 | window_state
import time:      1265 |       1265 |       platform
import time:       135 |        135 |       _uuid
import time:       298 |       1697 |     uuid
import time:       199 |        199 |     class_data
import time:       397 |       2293 |   state_manager
import time:       238 |        238 |     glob
import time:        98 |         98 |       tkinter.dialog
import time:        79 |         79 |       tkinter.commondialog
import time:        84 |         84 |         tkinter.messagebox
import time:       196 |        279 |       tkinter.simpledialog
import time:       193 |        649 |     tkinter.filedialog
import time:       138 |        138 |       _compat_pickle
import time:        58 |         58 |       _pickle
import time:        45 |         45 |           org
import time:        12 |         56 |         org.python
import time:        16 |         71 |       org.python.core
import time:       497 |        763 |     pickle
import time:     11746 |      13395 |   npc_bestiary_panel
import time:      3982 |      19668 | ui_setup_mixin
import time:      1474 |       1474 |   voice_interface
import time:       121 |        121 |   agent_logger
import time:       747 |        747 |   chat_log_writer
import time:       121 |        121 |   damage_link_ui_handler
import time:       466 |       2927 | chat_mixin
import time:       169 |        169 |   character_faces
import time:       301 |        470 | character_mixin
import time:        90 |         90 |             numpy._utils._convertions
import time:       150 |        239 |           numpy._utils
import time:       221 |        459 |         numpy._globals
import time:        85 |         85 |         numpy._expired_attrs_2_0
import time:        64 |         64 |         numpy.version
import time:        21 |         21 |           numpy._distributor_init_local
import time:        78 |         99 |         numpy._distributor_init
import time:        82 |         82 |                   numpy._utils._inspect
import time:       190 |        190 |                     numpy.exceptions
import time:       184 |        184 |                     numpy._core._exceptions
import time:        95 |         95 |                     numpy._core.printoptions
import time:        92 |         92 |                     numpy.dtypes
import time:      5976 |       6535 |                   numpy._core._multiarray_umath
import time:       250 |       6865 |                 numpy._core.overrides
import time:       416 |       7281 |               numpy._core.multiarray
import time:       150 |        150 |               numpy._core.umath
import time:       251 |        251 |                 numbers
import time:       109 |        109 |                 numpy._core._string_helpers
import time:       234 |        234 |                 numpy._core._type_aliases
import time:       195 |        195 |                 numpy._core._dtype
import time:       458 |       1245 |               numpy._core.numerictypes
import time:       148 |        148 |                     numpy._core._methods
import time:       723 |        870 |                   numpy._core.fromnumeric
import time:       308 |       1178 |                 numpy._core.shape_base
import time:       144 |        144 |                 numpy._core._ufunc_config
import time:       436 |        436 |                 numpy._core.arrayprint
import time:       112 |        112 |                 numpy._core._asarray
import time:      1718 |       3585 |               numpy._core.numeric
import time:       220 |        220 |               numpy._core.records
import time:       149 |        149 |               numpy._core.memmap
import time:       185 |        185 |               numpy._core.function_base
import time:       178 |        178 |               numpy._core._machar
import time:       264 |        264 |               numpy._core.getlimits
import time:       191 |        191 |               numpy._core.einsumfunc
import time:       917 |        917 |               numpy._core._add_newdocs
import time:       337 |        337 |               numpy._core._add_newdocs_scalars
import time:       101 |        101 |               numpy._core._dtype_ctypes
import time:       574 |        574 |               numpy._core._internal
import time:       119 |        119 |               numpy._pytesttester
import time:      1239 |      16728 |             numpy._core
import time:        67 |      16794 |           numpy._core._multiarray_umath
import time:       293 |      17087 |         numpy.__config__
import time:        85 |         85 |             numpy.lib._array_utils_impl
import time:       232 |        316 |           numpy.lib.array_utils
import time:       110 |        110 |           numpy.lib.introspect
import time:       214 |        214 |           numpy.lib.mixins
import time:       165 |        165 |                 numpy.lib._utils_impl
import time:       253 |        417 |               numpy.lib.format
import time:       176 |        176 |               numpy.lib._datasource
import time:       597 |        597 |               numpy.lib._iotools
import time:       579 |       1767 |             numpy.lib._npyio_impl
import time:       157 |       1924 |           numpy.lib.npyio
import time:       120 |        120 |                 numpy.lib._ufunclike_impl
import time:       280 |        399 |               numpy.lib._type_check_impl
import time:       262 |        661 |             numpy.lib._scimath_impl
import time:       153 |        813 |           numpy.lib.scimath
import time:       165 |        165 |             numpy.lib._stride_tricks_impl
import time:       170 |        335 |           numpy.lib.stride_tricks
import time:       114 |        114 |                   numpy.linalg.linalg
import time:       261 |        261 |                     numpy.lib._twodim_base_impl
import time:       357 |        357 |                     numpy.linalg._umath_linalg
import time:       235 |        235 |                       numpy._typing._nested_sequence
import time:       207 |        207 |                       numpy._typing._nbit_base
import time:       105 |        105 |                       numpy._typing._nbit
import time:      2592 |       2592 |                       numpy._typing._char_codes
import time:       112 |        112 |                       numpy._typing._scalars
import time:       104 |        104 |                       numpy._typing._shape
import time:      2972 |       2972 |                       numpy._typing._dtype_like
import time:      1913 |       1913 |                       numpy._typing._array_like
import time:       110 |        110 |                       numpy._typing._ufunc
import time:       716 |       9062 |                     numpy._typing
import time:      1073 |      10751 |                   numpy.linalg._linalg
import time:       261 |      11125 |                 numpy.linalg
import time:       322 |      11446 |               numpy.matrixlib.defmatrix
import time:       164 |      11610 |             numpy.matrixlib
import time:       199 |        199 |               numpy.lib._histograms_impl
import time:       799 |        998 |             numpy.lib._function_base_impl
import time:       421 |      13028 |           numpy.lib._index_tricks_impl
import time:       384 |        384 |           numpy.lib._nanfunctions_impl
import time:       292 |        292 |           numpy.lib._shape_base_impl
import time:       486 |        486 |           numpy.lib._arraysetops_impl
import time:       387 |        387 |           numpy.lib._polynomial_impl
import time:       129 |        129 |           numpy.lib._arrayterator_impl
import time:       214 |        214 |           numpy.lib._arraypad_impl
import time:       116 |        116 |           numpy.lib._version
import time:      1174 |      19916 |         numpy.lib
import time:       119 |        119 |         numpy._array_api_info
import time:      1788 |      39613 |       numpy
import time:       168 |      39781 |     combat_map_constants
import time:       151 |        151 |           PIL.ImageColor
import time:       166 |        166 |               PIL._typing
import time:      1110 |       1110 |               PIL._imagingft
import time:       541 |       1816 |             PIL.ImageFont
import time:       201 |       2016 |           PIL.ImageText
import time:       407 |       2572 |         PIL.ImageDraw
import time:       234 |       2806 |       combat_map_core_mixin
import time:       191 |        191 |       combat_map_layer_manager
import time:       241 |        241 |       combat_map_map_manager
import time:       204 |        204 |       combat_map_renderer
import time:       354 |        354 |       combat_map_token_manager
import time:       373 |        373 |       combat_map_ui_toolbar
import time:       188 |        188 |       combat_map_obstacle_manager
import time:       191 |        191 |       combat_map_fog_manager
import time:       196 |        196 |       combat_map_tool_events
import time:       330 |        330 |       combat_map_notes_doors
import time:       130 |        130 |       combat_map_navigation
import time:       128 |        128 |       combat_map_selection
import time:       187 |        187 |       combat_map_ruler
import time:       894 |       6407 |     combat_map_window
import time:       243 |      46430 |   combat_map_panel
import time:       492 |      46921 | panels_mixin
import time:       159 |        159 | session_mixin
import time:       133 |        133 | session_pause_mixin
import time:       125 |        125 |   combat_tracker_constants
import time:       133 |        133 |   combat_tracker_combatant
import time:       245 |        502 | combat_tracker_mixin
import time:       187 |        187 | image_broadcast_mixin
import time:       233 |        233 |         combat_tracker_state
import time:       204 |        204 |         combat_tracker_ui_mixin
import time:       330 |        330 |         combat_tracker_row_mixin
import time:       181 |        181 |         combat_tracker_state_mixin
