import time: self [us] | cumulative | imported package
import time:       135 |        135 |                                                       openai.types.responses.response_input_text_param
import time:       155 |        155 |                                                       openai.types.responses.response_input_image_param
import time:       158 |        587 |                                                     openai.types.responses.response_input_message_content_list_param
import time:       214 |        801 |                                                   openai.types.responses.easy_input_message_param
import time:       437 |        437 |                                                     openai.types.responses.response_output_text_param
import time:       134 |        134 |                                                     openai.types.responses.response_output_refusal_param
import time:       235 |        804 |                                                   openai.types.responses.response_output_message_param
import time:       236 |        236 |                                                   openai.types.responses.response_reasoning_item_param
import time:       159 |        159 |                                                   openai.types.responses.response_custom_tool_call_param
import time:       557 |        557 |                                                     openai.types.responses.computer_action_list_param
import time:       641 |       1197 |                                                   openai.types.responses.response_computer_tool_call_param
import time:       173 |        173 |                                                   openai.types.responses.response_function_tool_call_param
import time:       319 |        319 |                                                   openai.types.responses.response_function_web_search_param
import time:       147 |        147 |                                                   openai.types.responses.response_compaction_item_param_param
import time:       222 |        222 |                                                   openai.types.responses.response_file_search_tool_call_param
import time:       152 |        152 |                                                   openai.types.responses.response_custom_tool_call_output_param
import time:       264 |        264 |                                                   openai.types.responses.response_code_interpreter_tool_call_param
import time:       173 |        173 |                                                   openai.types.responses.response_tool_search_output_item_param_param
import time:       138 |        138 |                                                     openai.types.responses.response_input_file_content_param
import time:       130 |        130 |                                                     openai.types.responses.response_input_text_content_param
import time:       153 |        153 |                                                     openai.types.responses.response_input_image_content_param
import time:       173 |        593 |                                                   openai.types.responses.response_function_call_output_item_list_param
import time:       221 |        221 |                                                   openai.types.responses.response_function_shell_call_output_content_param
import time:       176 |        176 |                                                   openai.types.responses.response_computer_tool_call_output_screenshot_param
import time:      1566 |       7197 |                                                 openai.types.responses.response_input_param
import time:       497 |        497 |                                                 openai.types.responses.computer_action_param
import time:       318 |        318 |                                                 openai.types.responses.response_failed_event
import time:       182 |        182 |                                                 openai.types.responses.response_prompt_param
import time:       285 |        285 |                                                 openai.types.responses.response_queued_event
import time:       266 |        266 |                                                   openai.types.responses.response_created_event
import time:       279 |        279 |                                                   openai.types.responses.response_completed_event
import time:       695 |        695 |                                                   openai.types.responses.response_text_done_event
import time:       262 |        262 |                                                   openai.types.responses.response_audio_done_event
import time:       314 |        314 |                                                   openai.types.responses.response_incomplete_event
import time:       691 |        691 |                                                   openai.types.responses.response_text_delta_event
import time:       272 |        272 |                                                   openai.types.responses.response_audio_delta_event
import time:       279 |        279 |                                                   openai.types.responses.response_in_progress_event
import time:       309 |        309 |                                                   openai.types.responses.response_refusal_done_event
import time:       307 |        307 |                                                   openai.types.responses.response_refusal_delta_event
import time:       285 |        285 |                                                   openai.types.responses.response_mcp_call_failed_event
import time:       306 |        306 |                                                   openai.types.responses.response_output_item_done_event
import time:      1089 |       1089 |                                                   openai.types.responses.response_content_part_done_event
import time:       305 |        305 |                                                   openai.types.responses.response_output_item_added_event
import time:       498 |        498 |                                                   openai.types.responses.response_content_part_added_event
import time:       288 |        288 |                                                   openai.types.responses.response_mcp_call_completed_event
import time:       307 |        307 |                                                   openai.types.responses.response_reasoning_text_done_event
import time:       282 |        282 |                                                   openai.types.responses.response_mcp_call_in_progress_event
import time:       310 |        310 |                                                   openai.types.responses.response_reasoning_text_delta_event
import time:       254 |        254 |                                                   openai.types.responses.response_audio_transcript_done_event
import time:       319 |        319 |                                                   openai.types.responses.response_mcp_list_tools_failed_event
import time:       280 |        280 |                                                   openai.types.responses.response_audio_transcript_delta_event
import time:       283 |        283 |                                                   openai.types.responses.response_mcp_call_arguments_done_event
import time:       287 |        287 |                                                   openai.types.responses.response_image_gen_call_completed_event
import time:       295 |        295 |                                                   openai.types.responses.response_mcp_call_arguments_delta_event
import time:       276 |        276 |                                                   openai.types.responses.response_mcp_list_tools_completed_event
import time:       279 |        279 |                                                   openai.types.responses.response_image_gen_call_generating_event
import time:       278 |        278 |                                                   openai.types.responses.response_web_search_call_completed_event
import time:       288 |        288 |                                                   openai.types.responses.response_web_search_call_searching_event
import time:       267 |        267 |                                                   openai.types.responses.response_file_search_call_completed_event
import time:       324 |        324 |                                                   openai.types.responses.response_file_search_call_searching_event
import time:       277 |        277 |                                                   openai.types.responses.response_image_gen_call_in_progress_event
import time:       310 |        310 |                                                   openai.types.responses.response_mcp_list_tools_in_progress_event
import time:       302 |        302 |                                                   openai.types.responses.response_custom_tool_call_input_done_event
import time:       459 |        459 |                                                   openai.types.responses.response_reasoning_summary_part_done_event
import time:       311 |        311 |                                                   openai.types.responses.response_reasoning_summary_text_done_event
import time:       290 |        290 |                                                   openai.types.responses.response_web_search_call_in_progress_event
import time:       293 |        293 |                                                   openai.types.responses.response_custom_tool_call_input_delta_event
import time:       275 |        275 |                                                   openai.types.responses.response_file_search_call_in_progress_event
import time:       348 |        348 |                                                   openai.types.responses.response_function_call_arguments_done_event
import time:       310 |        310 |                                                   openai.types.responses.response_image_gen_call_partial_image_event
import time:       326 |        326 |                                                   openai.types.responses.response_output_text_annotation_added_event
import time:       455 |        455 |                                                   openai.types.responses.response_reasoning_summary_part_added_event
import time:       309 |        309 |                                                   openai.types.responses.response_reasoning_summary_text_delta_event
import time:       292 |        292 |                                                   openai.types.responses.response_function_call_arguments_delta_event
import time:       308 |        308 |                                                   openai.types.responses.response_code_interpreter_call_code_done_event
import time:       277 |        277 |                                                   openai.types.responses.response_code_interpreter_call_completed_event
import time:       296 |        296 |                                                   openai.types.responses.response_code_interpreter_call_code_delta_event
import time:       323 |        323 |                                                   openai.types.responses.response_code_interpreter_call_in_progress_event
import time:       287 |        287 |                                                   openai.types.responses.response_code_interpreter_call_interpreting_event
import time:       919 |      17717 |                                                 openai.types.responses.response_stream_event
import time:       162 |        162 |                                                 openai.types.responses.tool_choice_mcp_param
import time:       165 |        165 |                                                 openai.types.responses.input_item_list_params
import time:       101 |        101 |                                                   openai.types.responses.tool_choice_shell_param
import time:       136 |        136 |                                                   openai.types.responses.tool_choice_types_param
import time:       133 |        133 |                                                   openai.types.responses.tool_choice_custom_param
import time:       154 |        154 |                                                   openai.types.responses.tool_choice_allowed_param
import time:       140 |        140 |                                                       openai.types.responses.response_format_text_json_schema_config_param
import time:       120 |        259 |                                                     openai.types.responses.response_format_text_config_param
import time:       157 |        416 |                                                   openai.types.responses.response_text_config_param
import time:       135 |        135 |                                                   openai.types.responses.tool_choice_function_param
import time:       123 |        123 |                                                   openai.types.responses.tool_choice_apply_patch_param
import time:       120 |        120 |                                                   openai.types.responses.response_conversation_param_param
import time:       635 |       1950 |                                                 openai.types.responses.response_create_params
import time:       217 |        217 |                                                   openai.types.responses.response_conversation_param
import time:      1603 |       1820 |                                                 openai.types.responses.responses_client_event
import time:       214 |        214 |                                                 openai.types.responses.responses_server_event
import time:      1505 |       1505 |                                                   openai.types.responses.response_input_item_param
import time:       298 |       1802 |                                                 openai.types.responses.response_compact_params
import time:       275 |        275 |                                                 openai.types.responses.input_token_count_params
import time:       210 |        210 |                                                 openai.types.responses.response_retrieve_params
import time:       276 |        276 |                                                 openai.types.responses.input_token_count_response
import time:       177 |        177 |                                                 openai.types.responses.response_input_audio_param
import time:        94 |         94 |                                                 openai.types.responses.response_input_content_param
import time:       413 |        413 |                                                 openai.types.responses.responses_client_event_param
import time:        92 |         92 |                                                 openai.types.responses.response_function_call_output_item_param
import time:       895 |     106635 |                                               openai.types.responses
import time:        22 |     106657 |                                             openai.types.responses.response_input_text
import time:       519 |     107175 |                                           openai.types.graders.grader_inputs
import time:       903 |     108077 |                                         openai.types.graders.label_model_grader
import time:      1227 |       1227 |                                         openai.types.graders.score_model_grader
import time:       330 |        330 |                                         openai.types.graders.string_check_grader
import time:       337 |        337 |                                         openai.types.graders.text_similarity_grader
import time:       424 |     110670 |                                       openai.types.graders.multi_grader
import time:       143 |        143 |                                         openai.types.graders.python_grader_param
import time:       207 |        207 |                                           openai.types.graders.grader_inputs_param
import time:       368 |        574 |                                         openai.types.graders.label_model_grader_param
import time:       423 |        423 |                                         openai.types.graders.score_model_grader_param
import time:       169 |        169 |                                         openai.types.graders.string_check_grader_param
import time:       171 |        171 |                                         openai.types.graders.text_similarity_grader_param
import time:       261 |       1739 |                                       openai.types.graders.multi_grader_param
import time:       132 |     112540 |                                     openai.types.graders
import time:        24 |     112564 |                                   openai.types.graders.grader_inputs_param
import time:       635 |     114948 |                                 openai.types.eval_create_params
import time:       305 |        305 |                                   openai.types.eval_custom_data_source_config
import time:       355 |        355 |                                   openai.types.eval_stored_completions_data_source_config
import time:      1450 |       2109 |                                 openai.types.eval_list_response
import time:       148 |        148 |                                 openai.types.eval_update_params
import time:       193 |        193 |                                 openai.types.file_create_params
import time:       125 |        125 |                                 openai.types.video_remix_params
import time:       209 |        209 |                                 openai.types.batch_create_params
import time:       131 |        131 |                                 openai.types.skill_create_params
import time:       121 |        121 |                                 openai.types.skill_update_params
import time:       153 |        153 |                                 openai.types.video_create_params
import time:      1311 |       1311 |                                 openai.types.eval_create_response
import time:       261 |        261 |                                 openai.types.eval_delete_response
import time:      1337 |       1337 |                                 openai.types.eval_update_response
import time:       205 |        205 |                                 openai.types.upload_create_params
import time:       300 |        300 |                                 openai.types.vector_store_deleted
import time:       100 |        100 |                                 openai.types.audio_response_format
import time:       130 |        130 |                                 openai.types.container_list_params
import time:       306 |        306 |                                 openai.types.image_generate_params
import time:       270 |        270 |                                 openai.types.video_delete_response
import time:      1320 |       1320 |                                 openai.types.eval_retrieve_response
import time:       221 |        221 |                                   openai.types.other_file_chunking_strategy_object
import time:       223 |        223 |                                     openai.types.static_file_chunking_strategy
import time:       241 |        464 |                                   openai.types.static_file_chunking_strategy_object
import time:       140 |        824 |                                 openai.types.file_chunking_strategy
import time:       674 |        674 |                                   openai.types.image_gen_completed_event
import time:      1313 |       1313 |                                   openai.types.image_gen_partial_image_event
import time:       143 |       2129 |                                 openai.types.image_gen_stream_event
import time:       134 |        134 |                                 openai.types.upload_complete_params
import time:       218 |        218 |                                 openai.types.container_create_params
import time:       817 |        817 |                                 openai.types.container_list_response
import time:       171 |        171 |                                 openai.types.embedding_create_params
import time:       648 |        648 |                                   openai.types.image_edit_completed_event
import time:       344 |        344 |                                   openai.types.image_edit_partial_image_event
import time:       144 |       1134 |                                 openai.types.image_edit_stream_event
import time:       341 |        341 |                                 openai.types.completion_create_params
import time:       172 |        172 |                                     openai.types.moderation_text_input_param
import time:       143 |        143 |                                     openai.types.moderation_image_url_input_param
import time:       109 |        423 |                                   openai.types.moderation_multi_modal_input_param
import time:       140 |        563 |                                 openai.types.moderation_create_params
import time:       130 |        130 |                                 openai.types.vector_store_list_params
import time:       719 |        719 |                                 openai.types.container_create_response
import time:       435 |        435 |                                 openai.types.create_embedding_response
import time:       260 |        260 |                                 openai.types.moderation_create_response
import time:       104 |        104 |                                     openai.types.auto_file_chunking_strategy_param
import time:       109 |        109 |                                       openai.types.static_file_chunking_strategy_param
import time:       125 |        233 |                                     openai.types.static_file_chunking_strategy_object_param
import time:       109 |        446 |                                   openai.types.file_chunking_strategy_param
import time:       193 |        638 |                                 openai.types.vector_store_create_params
import time:       202 |        202 |                                 openai.types.vector_store_search_params
import time:       155 |        155 |                                 openai.types.vector_store_update_params
import time:       756 |        756 |                                 openai.types.container_retrieve_response
import time:       483 |        483 |                                 openai.types.vector_store_search_response
import time:       159 |        159 |                                 openai.types.websocket_connection_options
import time:       173 |        173 |                                 openai.types.image_create_variation_params
import time:       108 |        108 |                                 openai.types.video_download_content_params
import time:      1014 |     161617 |                               openai.types
import time:       226 |        226 |                                 openai._exceptions
import time:       251 |        251 |                                 openai._qs
import time:        70 |         70 |                                 openai._version
import time:       250 |        250 |                                 openai._streaming
import time:       612 |        612 |                                         gettext
import time:       596 |       1208 |                                       argparse
import time:       199 |        199 |                                       shlex
import time:       631 |       2038 |                                     distro.distro
import time:       141 |       2178 |                                   distro
import time:       469 |        469 |                                   openai._response
import time:        98 |         98 |                                   openai._utils._json
import time:       251 |        251 |                                   openai._legacy_response
import time:        51 |         51 |                                   httpx_aiohttp
import time:      1751 |       4796 |                                 openai._base_client
import time:       575 |       6165 |                               openai._client
import time:       131 |        131 |                               openai._utils._resources_proxy
import time:       102 |        102 |                                   openai.lib._pydantic
import time:       187 |        288 |                                 openai.lib._tools
import time:       195 |        195 |                                   openai.lib._parsing._completions
import time:        89 |        284 |                                 openai.lib._parsing
import time:        94 |        665 |                               openai.lib
import time:       315 |        315 |                               openai.lib.azure
import time:        72 |         72 |                               openai.version
import time:       171 |        171 |                               openai.lib._old_api
import time:       838 |        838 |                                     openai.types.beta.thread
import time:       223 |        223 |                                         openai.types.beta.function_tool
import time:       673 |        673 |                                         openai.types.beta.file_search_tool
import time:       218 |        218 |                                         openai.types.beta.code_interpreter_tool
import time:       145 |       1257 |                                       openai.types.beta.assistant_tool
import time:       116 |        116 |                                       openai.types.beta.assistant_response_format_option
import time:      1010 |       2382 |                                     openai.types.beta.assistant
import time:       269 |        269 |                                     openai.types.beta.thread_deleted
import time:       431 |        431 |                                     openai.types.beta.chatkit_workflow
import time:       252 |        252 |                                     openai.types.beta.assistant_deleted
import time:       132 |        132 |                                     openai.types.beta.function_tool_param
import time:       222 |        222 |                                       openai.types.beta.file_search_tool_param
import time:       121 |        121 |                                       openai.types.beta.code_interpreter_tool_param
import time:       119 |        462 |                                     openai.types.beta.assistant_tool_param
import time:        94 |         94 |                                             openai.types.beta.threads.run_status
import time:       213 |        213 |                                                 openai.types.beta.assistant_tool_choice_function
import time:       277 |        490 |                                               openai.types.beta.assistant_tool_choice
import time:       118 |        608 |                                             openai.types.beta.assistant_tool_choice_option
import time:       379 |        379 |                                             openai.types.beta.threads.required_action_function_tool_call
import time:      2397 |       3476 |                                           openai.types.beta.threads.run
import time:       401 |        401 |                                               openai.types.beta.threads.file_path_annotation
import time:       391 |        391 |                                               openai.types.beta.threads.file_citation_annotation
import time:       129 |        920 |                                             openai.types.beta.threads.annotation
import time:       337 |       1257 |                                           openai.types.beta.threads.text
import time:       231 |        231 |                                               openai.types.beta.threads.text_content_block
import time:       275 |        275 |                                               openai.types.beta.threads.refusal_content_block
import time:       272 |        272 |                                                 openai.types.beta.threads.image_url
import time:       236 |        507 |                                               openai.types.beta.threads.image_url_content_block
import time:       226 |        226 |                                                 openai.types.beta.threads.image_file
import time:       236 |        462 |                                               openai.types.beta.threads.image_file_content_block
import time:       157 |       1629 |                                             openai.types.beta.threads.message_content
import time:      1013 |       2642 |                                           openai.types.beta.threads.message
import time:       438 |        438 |                                               openai.types.beta.threads.file_path_delta_annotation
import time:       513 |        513 |                                               openai.types.beta.threads.file_citation_delta_annotation
import time:       126 |       1076 |                                             openai.types.beta.threads.annotation_delta
import time:       280 |       1356 |                                           openai.types.beta.threads.text_delta
import time:       255 |        255 |                                               openai.types.beta.threads.text_delta_block
import time:       248 |        248 |                                               openai.types.beta.threads.refusal_delta_block
import time:       229 |        229 |                                                 openai.types.beta.threads.image_url_delta
import time:       269 |        497 |                                               openai.types.beta.threads.image_url_delta_block
import time:       222 |        222 |                                                 openai.types.beta.threads.image_file_delta
import time:       265 |        486 |                                               openai.types.beta.threads.image_file_delta_block
import time:       148 |       1632 |                                             openai.types.beta.threads.message_content_delta
import time:       304 |       1936 |                                           openai.types.beta.threads.message_delta
import time:       124 |        124 |                                           openai.types.beta.threads.image_url_param
import time:       248 |        248 |                                           openai.types.beta.threads.message_deleted
import time:       132 |        132 |                                           openai.types.beta.threads.run_list_params
import time:       118 |        118 |                                           openai.types.beta.threads.image_file_param
import time:       398 |        398 |                                                       openai.types.beta.threads.runs.function_tool_call
import time:       947 |        947 |                                                       openai.types.beta.threads.runs.file_search_tool_call
import time:       866 |        866 |                                                       openai.types.beta.threads.runs.code_interpreter_tool_call
import time:       145 |       2354 |                                                     openai.types.beta.threads.runs.tool_call
import time:       245 |       2599 |                                                   openai.types.beta.threads.runs.tool_calls_step_details
import time:       356 |        356 |                                                   openai.types.beta.threads.runs.message_creation_step_details
import time:      1226 |       4180 |                                                 openai.types.beta.threads.runs.run_step
import time:       633 |        633 |                                                       openai.types.beta.threads.runs.function_tool_call_delta
import time:       409 |        409 |                                                       openai.types.beta.threads.runs.file_search_tool_call_delta
import time:       324 |        324 |                                                         openai.types.beta.threads.runs.code_interpreter_logs
import time:       528 |        528 |                                                         openai.types.beta.threads.runs.code_interpreter_output_image
import time:       750 |       1601 |                                                       openai.types.beta.threads.runs.code_interpreter_tool_call_delta
import time:       186 |       2828 |                                                     openai.types.beta.threads.runs.tool_call_delta
import time:       360 |       3187 |                                                   openai.types.beta.threads.runs.tool_call_delta_object
import time:       508 |        508 |                                                   openai.types.beta.threads.runs.run_step_delta_message_delta
import time:       394 |       4088 |                                                 openai.types.beta.threads.runs.run_step_delta
import time:       117 |        117 |                                                 openai.types.beta.threads.runs.run_step_include
import time:       223 |        223 |                                                 openai.types.beta.threads.runs.step_list_params
import time:       358 |        358 |                                                 openai.types.beta.threads.runs.run_step_delta_event
import time:       168 |        168 |                                                 openai.types.beta.threads.runs.step_retrieve_params
import time:       257 |       9389 |                                               openai.types.beta.threads.runs
import time:        22 |       9410 |                                             openai.types.beta.threads.runs.run_step_include
import time:       149 |        149 |                                               openai.types.beta.threads.text_content_block_param
import time:       154 |        154 |                                               openai.types.beta.threads.image_url_content_block_param
import time:       155 |        155 |                                               openai.types.beta.threads.image_file_content_block_param
import time:       166 |        622 |                                             openai.types.beta.threads.message_content_part_param
import time:       195 |        195 |                                                 openai.types.beta.assistant_tool_choice_function_param
import time:       173 |        368 |                                               openai.types.beta.assistant_tool_choice_param
import time:       141 |        508 |                                             openai.types.beta.assistant_tool_choice_option_param
import time:       140 |        140 |                                             openai.types.beta.assistant_response_format_option_param
import time:       699 |      11379 |                                           openai.types.beta.threads.run_create_params
import time:       163 |        163 |                                           openai.types.beta.threads.run_update_params
import time:       356 |        356 |                                           openai.types.beta.threads.message_delta_event
import time:       180 |        180 |                                           openai.types.beta.threads.message_list_params
import time:       311 |        311 |                                           openai.types.beta.threads.message_create_params
import time:       160 |        160 |                                           openai.types.beta.threads.message_update_params
import time:       302 |        302 |                                           openai.types.beta.threads.run_submit_tool_outputs_params
import time:       349 |      24481 |                                         openai.types.beta.threads
import time:        21 |      24501 |                                       openai.types.beta.threads.message_content_part_param
import time:       653 |      25153 |                                     openai.types.beta.thread_create_params
import time:       273 |        273 |                                     openai.types.beta.thread_update_params
import time:       167 |        167 |                                     openai.types.beta.assistant_list_params
import time:      5177 |       5177 |                                     openai.types.beta.assistant_stream_event
import time:       660 |        660 |                                     openai.types.beta.assistant_create_params
import time:       468 |        468 |                                     openai.types.beta.assistant_update_params
import time:      1181 |       1181 |                                     openai.types.beta.thread_create_and_run_params
import time:       346 |      38184 |                                   openai.types.beta
import time:       384 |      38567 |                                 openai.lib.streaming._assistants
import time:        93 |      38659 |                               openai.lib.streaming
import time:      1168 |       1168 |                               openai._module_client
import time:       492 |     209449 |                             openai
import time:       240 |     214724 |                           autogen.llm_clients.openai_completions_client
import time:       123 |     222253 |                         autogen.llm_clients
import time:       270 |        270 |                           venv
import time:       203 |        203 |                           concurrent.futures.thread
import time:       632 |        632 |                                     urllib3.exceptions
import time:      1146 |       1146 |                                             urllib3.util.timeout
import time:       249 |       1395 |                                           urllib3.util.connection
import time:       107 |        107 |                                             urllib3.util.util
import time:        63 |         63 |                                             brotlicffi
import time:        55 |         55 |                                             brotli
import time:        52 |         52 |                                             backports
import time:       435 |        709 |                                           urllib3.util.request
import time:       116 |        116 |                                           urllib3.util.response
import time:       354 |        354 |                                           urllib3.util.retry
import time:       205 |        205 |                                             hmac
import time:      6620 |       6620 |                                             urllib3.util.url
import time:       244 |        244 |                                             urllib3.util.ssltransport
import time:       311 |       7378 |                                           urllib3.util.ssl_
import time:        95 |         95 |                                           urllib3.util.wait
import time:       194 |      10238 |                                         urllib3.util
import time:        20 |      10257 |                                       urllib3.util.connection
import time:       396 |      10652 |                                     urllib3._base_connection
import time:       403 |        403 |                                     urllib3._collections
import time:        86 |         86 |                                     urllib3._version
import time:       240 |        240 |                                           urllib3.fields
import time:       160 |        399 |                                         urllib3.filepost
import time:        58 |         58 |                                           brotlicffi
import time:        41 |         41 |                                           brotli
import time:        84 |         84 |                                             urllib3.http2
import time:       132 |        132 |                                             urllib3.http2.probe
import time:        94 |         94 |                                             urllib3.util.ssl_match_hostname
import time:       475 |        783 |                                           urllib3.connection
import time:        62 |         62 |                                           backports
import time:       500 |       1443 |                                         urllib3.response
import time:       208 |       2049 |                                       urllib3._request_methods
import time:       100 |        100 |                                       urllib3.util.proxy
import time:       323 |       2471 |                                     urllib3.connectionpool
import time:       739 |        739 |                                     urllib3.poolmanager
import time:       324 |      15304 |                                   urllib3
import time:       373 |        373 |                                           81d243bd2c585b0f4821__mypyc
import time:      1400 |       1400 |                                           charset_normalizer.constant
import time:       204 |        204 |                                               _multibytecodec
import time:       447 |        651 |                                             charset_normalizer.utils
import time:       275 |        925 |                                           charset_normalizer.md
import time:       298 |        298 |                                           charset_normalizer.models
import time:       380 |       3374 |                                         charset_normalizer.cd
import time:       243 |       3616 |                                       charset_normalizer.api
import time:        93 |         93 |                                       charset_normalizer.legacy
import time:        70 |         70 |                                       charset_normalizer.version
import time:        41 |         41 |                                       simplejson
import time:       891 |        891 |                                       http.cookies
import time:       377 |       5084 |                                     requests.compat
import time:       348 |       5432 |                                   requests.exceptions
import time:        46 |         46 |                                   chardet
import time:       649 |        649 |                                   requests.packages
import time:        71 |         71 |                                     requests.certs
import time:        63 |         63 |                                     requests.__version__
import time:       264 |        264 |                                     requests._internal_utils
import time:       206 |        206 |                                     requests.cookies
import time:       116 |        116 |                                     requests.structures
import time:       385 |       1103 |                                   requests.utils
import time:       138 |        138 |                                         requests.auth
import time:       192 |        192 |                                             stringprep
import time:       153 |        344 |                                           encodings.idna
import time:        69 |         69 |                                           requests.hooks
import time:       252 |        252 |                                           requests.status_codes
import time:       303 |        966 |                                         requests.models
import time:        84 |         84 |                                           urllib3.contrib
import time:        42 |         42 |                                           socks
import time:       151 |        276 |                                         urllib3.contrib.socks
import time:       204 |       1582 |                                       requests.adapters
import time:       180 |       1762 |                                     requests.sessions
import time:        97 |       1858 |                                   requests.api
import time:       281 |      24669 |                                 requests
